,index,stlo,stla,network,station,channel,w
42,1,120.954,23.7876,BATS,SSLB,BHE,0
43,23,121.44200000000001,23.8118,CWB,ESL,EHE,0
44,74,120.289,23.8615,CWB,WTC,EHE,0
45,72,120.69200000000001,23.8766,CWB,WNT,EHE,0
46,44,120.90799999999999,23.8814,CWB,SML,EHE,0
47,66,120.87,23.9051,CWB,TYC,EHE,0
48,26,121.613,23.9752,CWB,HWA,EHE,0
49,55,121.605,24.0811,CWB,TWD,EHE,0
50,70,121.272,24.1434,CWB,WHF,EHE,0
51,50,120.684,24.1456,CWB,TCU,EHE,0
52,2,121.595,24.1738,BATS,NACB,BHE,0
53,64,121.162,24.249000000000002,CWB,TWT,EHE,0
54,62,120.781,24.3465,CWB,TWQ1,EHE,0
55,29,118.289,24.4074,CWB,KNM,EHE,0
56,35,120.77,24.4143,CWB,NSY,EHE,0
57,21,121.749,24.4259,CWB,ENA,EHE,0
58,32,121.381,24.4375,CWB,NNS,EHE,0
59,0,118.38799999999999,24.4638,BATS,KMNB,BHE,0
60,54,121.859,24.6081,CWB,TWC,EHE,0
61,34,121.009,24.6294,CWB,NST,EHE,0
62,22,121.574,24.6373,CWB,ENT,EHE,0
63,5,121.376,24.6695,BATS,YHNB,BHE,0
64,33,121.367,24.6738,CWB,NSK,EHE,0
65,56,121.68299999999999,24.7181,CWB,TWE,EHE,0
66,27,121.756,24.7636,CWB,ILA,EHE,0
67,25,121.014,24.8281,CWB,HSN,EHE,0
68,18,121.944,24.842,CWB,EGS,EHE,0
69,31,121.194,24.9673,CWB,NCU,EHE,0
70,52,121.59200000000001,24.9778,CWB,TWA,EHE,0
71,53,121.99700000000001,25.0069,CWB,TWB1,EHE,0
72,48,121.514,25.0373,CWB,TAP1,EHE,0
73,36,121.781,25.0717,CWB,NWF,EHE,0
74,63,121.42299999999999,25.1015,CWB,TWS1,EHE,0
75,65,121.60700000000001,25.2727,CWB,TWY,EHE,0
76,37,122.08,25.6276,CWB,PCY,EHE,0
