,index,stlo,stla,network,station,channel,w
0,41,120.855,21.9009,CWB,SEB,EHE,0
1,59,120.814,21.9401,CWB,TWK1,EHE,0
2,24,120.74600000000001,22.0037,CWB,HEN,EHE,0
3,30,121.55799999999999,22.0373,CWB,LAY,EHE,0
4,71,120.369,22.3467,CWB,WLC,EHE,0
5,49,120.904,22.3558,CWB,TAW,EHE,0
6,40,120.62799999999999,22.3703,CWB,SCZ,EHE,0
7,16,120.85700000000001,22.3814,CWB,EAS,EHE,0
8,28,120.316,22.5662,CWB,KAU,EHE,0
9,17,120.962,22.5961,CWB,ECL,EHE,0
10,42,120.499,22.7238,CWB,SGL,EHE,0
11,45,120.64,22.7443,CWB,SSD,EHE,0
12,51,121.155,22.7522,CWB,TTN,EHE,0
13,58,121.08,22.8176,CWB,TWG,EHE,0
14,4,121.08,22.8177,BATS,TWGB,BHE,0
15,61,120.431,22.8215,CWB,TWM1,EHE,0
16,47,120.23700000000001,23.038,CWB,TAI1,EHE,0
17,11,120.365,23.0756,CWB,CHN3,EHE,0
18,43,120.59100000000001,23.0804,CWB,SGS,EHE,0
19,8,121.37299999999999,23.0977,CWB,CHK,EHE,0
20,46,120.766,23.1607,CWB,STY,EHE,0
21,39,120.20200000000001,23.1734,CWB,SCL,EHE,0
22,9,120.52799999999999,23.185,CWB,CHN1,EHE,0
23,20,121.025,23.186999999999998,CWB,ELD,EHE,0
24,75,120.62200000000001,23.2437,CWB,WTP,EHE,0
25,67,119.66799999999999,23.2572,CWB,WDG,EHE,0
26,60,120.50200000000001,23.2638,CWB,TWL,EHE,0
27,3,120.63,23.3005,BATS,TPUB,BHE,0
28,14,120.223,23.3471,CWB,CHN8,EHE,0
29,57,121.305,23.351,CWB,TWF1,EHE,0
30,12,120.594,23.3513,CWB,CHN4,EHE,0
31,6,121.29700000000001,23.3925,BATS,YULB,BHE,0
32,76,120.959,23.4873,CWB,YUS,EHE,0
33,15,120.43299999999999,23.4961,CWB,CHY,EHE,0
34,19,121.32799999999999,23.5038,CWB,EHY,EHE,0
35,7,120.81299999999999,23.5083,CWB,ALS,EHE,0
36,10,120.47399999999999,23.5319,CWB,CHN2,EHE,0
37,38,119.564,23.565,CWB,PNG,EHE,0
38,13,120.677,23.5973,CWB,CHN5,EHE,0
39,73,120.23,23.6364,CWB,WSF,EHE,0
40,69,120.57,23.6845,CWB,WGK,EHE,0
41,68,121.141,23.7537,CWB,WDT,EHE,0
