stlo,stla,network,station,channel,w
118.388,24.4638,BATS,KMNB,BHE,0
120.954,23.7876,BATS,SSLB,BHE,0
121.595,24.1738,BATS,NACB,BHE,0
120.630,23.3005,BATS,TPUB,BHE,0
121.080,22.8177,BATS,TWGB,BHE,0
121.376,24.6695,BATS,YHNB,BHE,0
121.297,23.3925,BATS,YULB,BHE,0
120.813,23.5083,CWB,ALS,EHE,0
121.373,23.0977,CWB,CHK,EHE,0
120.528,23.185,CWB,CHN1,EHE,0
120.474,23.5319,CWB,CHN2,EHE,0
120.365,23.0756,CWB,CHN3,EHE,0
120.594,23.3513,CWB,CHN4,EHE,0
120.677,23.5973,CWB,CHN5,EHE,0
120.223,23.3471,CWB,CHN8,EHE,0
120.433,23.4961,CWB,CHY,EHE,0
120.857,22.3814,CWB,EAS,EHE,0
120.962,22.5961,CWB,ECL,EHE,0
121.944,24.842,CWB,EGS,EHE,0
121.328,23.5038,CWB,EHY,EHE,0
121.025,23.187,CWB,ELD,EHE,0
121.749,24.4259,CWB,ENA,EHE,0
121.574,24.6373,CWB,ENT,EHE,0
121.442,23.8118,CWB,ESL,EHE,0
120.746,22.0037,CWB,HEN,EHE,0
121.014,24.8281,CWB,HSN,EHE,0
121.613,23.9752,CWB,HWA,EHE,0
121.756,24.7636,CWB,ILA,EHE,0
120.316,22.5662,CWB,KAU,EHE,0
118.289,24.4074,CWB,KNM,EHE,0
121.558,22.0373,CWB,LAY,EHE,0
121.194,24.9673,CWB,NCU,EHE,0
121.381,24.4375,CWB,NNS,EHE,0
121.367,24.6738,CWB,NSK,EHE,0
121.009,24.6294,CWB,NST,EHE,0
120.77,24.4143,CWB,NSY,EHE,0
121.781,25.0717,CWB,NWF,EHE,0
122.08,25.6276,CWB,PCY,EHE,0
119.564,23.565,CWB,PNG,EHE,0
120.202,23.1734,CWB,SCL,EHE,0
120.628,22.3703,CWB,SCZ,EHE,0
120.855,21.9009,CWB,SEB,EHE,0
120.499,22.7238,CWB,SGL,EHE,0
120.591,23.0804,CWB,SGS,EHE,0
120.908,23.8814,CWB,SML,EHE,0
120.64,22.7443,CWB,SSD,EHE,0
120.766,23.1607,CWB,STY,EHE,0
120.237,23.038,CWB,TAI1,EHE,0
121.514,25.0373,CWB,TAP1,EHE,0
120.904,22.3558,CWB,TAW,EHE,0
120.684,24.1456,CWB,TCU,EHE,0
121.155,22.7522,CWB,TTN,EHE,0
121.592,24.9778,CWB,TWA,EHE,0
121.997,25.0069,CWB,TWB1,EHE,0
121.859,24.6081,CWB,TWC,EHE,0
121.605,24.0811,CWB,TWD,EHE,0
121.683,24.7181,CWB,TWE,EHE,0
121.305,23.351,CWB,TWF1,EHE,0
121.08,22.8176,CWB,TWG,EHE,0
120.814,21.9401,CWB,TWK1,EHE,0
120.502,23.2638,CWB,TWL,EHE,0
120.431,22.8215,CWB,TWM1,EHE,0
120.781,24.3465,CWB,TWQ1,EHE,0
121.423,25.1015,CWB,TWS1,EHE,0
121.162,24.249,CWB,TWT,EHE,0
121.607,25.2727,CWB,TWY,EHE,0
120.87,23.9051,CWB,TYC,EHE,0
119.668,23.2572,CWB,WDG,EHE,0
121.141,23.7537,CWB,WDT,EHE,0
120.57,23.6845,CWB,WGK,EHE,0
121.272,24.1434,CWB,WHF,EHE,0
120.369,22.3467,CWB,WLC,EHE,0
120.692,23.8766,CWB,WNT,EHE,0
120.23,23.6364,CWB,WSF,EHE,0
120.289,23.8615,CWB,WTC,EHE,0
120.622,23.2437,CWB,WTP,EHE,0
120.959,23.4873,CWB,YUS,EHE,0
